date, time, sponsor, host, distance, ping, dowload, upload
2015/01/08, 10:39, Virgin Media, Basildon, 44.98, 41.791, 29.82, 1.80
2015/01/08, 10:54, Virgin Media, Basildon, 44.98, 35.237, 31.16, 1.63
2015/01/08, 11:10, Virgin Media, Basildon, 44.98, 31.137, 32.30, 1.79
2015/01/08, 11:26, Virgin Media, Basildon, 44.98, 40.022, 29.97, 1.76
2015/01/08, 11:41, Cloud Space UK, Canterbury, 68.76, 33.305, 30.08, 1.54
2015/01/08, 11:57, Fluidata, Hemel Hempstead, 64.40, 35.087, 29.91, 1.71
2015/01/08, 12:13, Virgin Media, Basildon, 44.98, 43.46, 29.98, 1.79
2015/01/08, 12:29, Virgin Media, Basildon, 44.98, 47.779, 20.71, 1.45
2015/01/08, 12:44, Virgin Media, Basildon, 44.98, 31.615, 32.65, 1.79
2015/01/08, 13:00, Virgin Media, Basildon, 44.98, 34.531, 32.40, 1.76
2015/01/08, 13:16, Fluidata, Hemel Hempstead, 64.40, 45.376, 16.97, 1.50
2015/01/08, 13:32, Virgin Media, Basildon, 44.98, 33.614, 32.27, 1.77
2015/01/08, 13:47, Fluidata, Hemel Hempstead, 64.40, 39.306, 32.10, 1.65
2015/01/09, 12:33, Vorboss Limited, London, 1.89, 6.301, 14.89, 12.57
2015/01/09, 12:35, Vorboss Limited, London, 1.89, 5.666, 57.74, 129.01
2015/01/09, 12:38, Peer Point Internet LTD, London, 1.89, 3.569, 130.74, 79.58
